Date,Team,Acquired,Relinquished,Notes
2015-10-02, Steelers,  Martavis Bryant, , reinstated from suspension
2015-10-06, ,  Jarrett Bush, , reinstated from suspension
2015-10-06, ,  R.J. Dill, , reinstated from suspension
2015-10-06, ,  Ryan Seymour, , reinsstated from suspension
2015-10-06, ,  Victor Butler, , reinstated from suspension
2015-10-06, Bills,  Ikemefuna Enemkpali / I.K. Enemkpali, , reinstated from suspension
2015-10-06, Broncos,  Derek Wolfe, , reinstated from suspension
2015-10-06, Chargers,  Antonio Gates, , reinstated from suspension
2015-10-06, Cowboys,  Greg Hardy, , reinstated from suspension
2015-10-06, Cowboys,  Rolando McClain, , reinstated from suspension
2015-10-06, Jets,  Sheldon Richardson, , reinstated from suspension
2015-10-06, Rams,  Trey Watts, , reinstated from suspension
2015-10-12, Jets,  Sheldon Richardson, , reinstated from suspension (E)
2015-10-13, ,  Sean Donnelly, , reinstated from suspension
2015-10-15, Seahawks, ,  Derrick Coleman, suspended by team indefinitely after being arrested and charged with vehicular assault and a hit-and-run felony
2015-10-19, 49ers,  Jerome Simpson, , reinstated from suspension
2015-10-19, Jets, ,  Quincy Enunwa, suspended by NFL for 4 games for violating the league's personal conduct policy
2015-10-19, Seahawks,  Derrick Coleman, , reinstated from suspension
2015-10-27, ,  A.J. Cruz, , reinstated from suspension
2015-10-30, Ravens, ,  Matt Elam, suspended by NFL for 1 game for violating the league's substance abuse policy
2015-11-02, Ravens,  Matt Elam, , reinstated from suspension
2015-11-03, 49ers, ,  Kaleb Ramsey, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-11-04, Rams, ,  Trey Watts, suspended by NFL indefinitely for violating the league's substance abuse policy
2015-11-09, Broncos, ,  Aqib Talib, suspended by NFL for 1 game for poking opposing player in eye
2015-11-09, Rams, ,  Stedman Bailey, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-11-10, , ,  Joseph Randle, suspended by NFL for 4 games for violating the league's personal conduct policy
2015-11-10, Bears, ,  Tayo Fabuluje, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2015-11-11, Bears, ,  Jalen Saunders, suspended by NFL for 4 games
2015-11-12, Bears, ,  Ego Ferguson, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2015-11-13, Jets,  Quincy Enunwa, , reinstated from suspension
2015-11-16, Broncos,  Aqib Talib, , reinstated from suspension
2015-11-16, Redskins, ,  Junior Galette, suspended by NFL for 2 games
2015-11-17, ,  Ace Sanders, , reinstated from suspension
2015-11-17, ,  Jakar Hamilton, , reinstated from suspension
2015-11-17, ,  LaRon Landry, , reinstated from suspension
2015-11-17, ,  Loucheiz Purifoy, , reinstated from suspension
2015-11-17, Raiders, ,  Aldon Smith, suspended by NFL for 1 year for violating the league's substance abuse policy
2015-11-18, Redskins, ,  Silas Redd Jr., suspended by NFL for 4 games
2015-11-21, Jets,  Quincy Enunwa, , activated from suspended list
2015-11-23, Panthers, ,  Stephen Hill, suspended by NFL for 1 game
2015-11-23, Panthers, ,  Wes Horton, suspended by NFL for 4 games
2015-11-24, , ,  LaRon Landry, suspended by NFL indefinitely
2015-11-24, Panthers, ,  Frank Alexander, suspended by NFL for 1 year for violating the league's substance abuse policy
2015-11-27, Panthers,  Stephen Hill, , reinstated from suspension
2015-11-30, Redskins,  Junior Galette, , reinstated from suspension
2015-12-02, 49ers,  Kaleb Ramsey, , reinstated from suspension
2015-12-07, , ,  Arthur Lynch, suspended by NFL
2015-12-07, Bears,  Ego Ferguson, , reinstated from suspension
2015-12-07, Bears,  Jalen Saunders, , reinstated from suspension
2015-12-07, Bears,  Tayo Fabuluje, , reinstated from suspension
2015-12-07, Buccaneers, ,  Kwon Alexander, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2015-12-07, Ravens, ,  Nick Boyle, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2015-12-07, Rams,  Stedman Bailey, , reinstated from suspension
2015-12-08, ,  Joseph Randle, , reinstated from suspension
2015-12-11, Bears, ,  Jalen Saunders, suspended by NFL for 10 games
2015-12-14, Redskins,  Silas Redd Jr., , reinstated from suspension
2015-12-21, Giants, ,  Odell Beckham Jr., suspended by NFL for 1 game for intentionally hitting opposing player in head
2015-12-21, Panthers,  Wes Horton, , reinstated from suspension
2015-12-28, Giants,  Odell Beckham Jr., , reinstated from suspension
2015-12-28, Raiders, ,  Marcel Reece, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-01-04, ,  Arthur Lynch, , reinstated from suspension
2016-01-04, Bears,  Jalen Saunders, , reinstated from suspension
2016-01-04, Buccaneers,  Kwon Alexander, , reinstated from suspension
2016-01-04, Raiders,  Marcel Reece, , reinstated from suspension
2016-01-04, Ravens,  Nick Boyle, , reinstated from suspension
2016-01-11, Bengals, ,  Vontaze Burfict, suspended by NFL for 3 games for violation of NFL player safety rules
2016-02-12, Broncos, ,  Aqib Talib," fined $26,044 by NFL"
2016-02-19, Cowboys, ,  Randy Gregory, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-02-19, Packers, ,  Mike Pennel, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-02-19, Ravens, ,  Nick Boyle, suspended by NFL for 10 games
2016-03-04, Browns, ,  Armonty Bryant, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-03-14, , ,  Nick Moody, suspended by NFL for 4 games
2016-03-14, , ,  Taylor Mays, suspended by NFL for 4 games
2016-03-14, Steelers, ,  Martavis Bryant, suspended by NFL for minimum of 1 year for violating the league's substance abuse policy
2016-03-16, Ravens, ,  Will Hill III, suspended by NFL for 10 games
2016-04-08, Falcons, ,  Jalen Collins, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-04-08, Jaguars, ,  Aaron Colvin, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-04-08, Packers, ,  Demetri Goodson, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-04-08, Titans, ,  Andrew Turzilli, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-04-12, Redskins, ,  Silas Redd Jr., suspended by NFL indefinitely for violating the league's substance abuse policy
2016-04-20, Cowboys, ,  Demarcus Lawrence, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-04-25, Patriots, ,  Tom Brady, earlier 4-game suspension reinstated by U.S. Court of Appeals
2016-05-06, , ,  Bernard Pierce, suspended by NFL for 2 games
2016-06-30, , ,  Johnny Manziel, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-06-30, Cowboys, ,  Rolando McClain, suspended by NFL for 10 games for violating the league's substance abuse policy
2016-06-30, Jets, ,  Sheldon Richardson, suspended by NFL for 1 game for violating the league's personal conduct policy
2016-07-01, Ravens, ,  Darren Waller, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-07-15, 49ers, ,  Aaron Lynch, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-07-15, Bills, ,  Karlos Williams, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-07-22, Colts, ,  Arthur Jones, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-07-25, Browns,  Josh Gordon, , reinstated from suspension
2016-07-25, Browns, ,  Josh Gordon, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-07-29, Dolphins,  Dion Jordan, , reinstated from reserve/suspended list
2016-08-05, Titans, ,  Marqueston Huff, suspended by NFL for 1 game
2016-08-12, , ,  Andrew Quarless, suspended by NFL for 2 games for violating the league's personal conduct policy
2016-08-12, Broncos, ,  Shiloh Keo, suspended by NFL for 2 games for violating the league's substance abuse policy
2016-08-16, Bills, ,  Marcell Dareus, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-08-17, Browns, ,  K'Waun Williams, suspended by team for 2 weeks and fined an undisclosed amount for dispute over player's injury status
2016-08-17, Chiefs, ,  Zach Sterup, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-08-17, Giants, ,  Josh Brown (b), suspended by NFL for 1 game for violating the league's personal conduct policy
2016-08-18, Patriots, ,  Alan Branch, suspended by team indefinitely for violation of team rules
2016-08-19, Steelers, ,  Le'veon Bell / Le'Veon Bell, suspended by NFL for 3 games
2016-08-24, Chargers, ,  Damion Square, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-08-25, Patriots,  Alan Branch, , reinstated from suspension
2016-08-29, , ,  Prince Shembo, suspended by NFL for 2 games
2016-08-29, , ,  Sammie Hill / Sammie Lee Hill, suspended by NFL for 4 games
2016-08-29, Browns,  K'Waun Williams, , reinstated from suspension
2016-09-02, Patriots, ,  Rob Ninkovich, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-09-03, Panthers, ,  Chris Scott (b), suspended by NFL for 4 games
2016-09-09, Bills, ,  Seantrel Henderson, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-09-12, Giants,  Josh Brown (b), , reinstated from suspension
2016-09-12, Jaguars,  Marqueston Huff, , reinstated from suspension
2016-09-12, Jets,  Sheldon Richardson, , reinstated from suspension
2016-09-13, , ,  Rashaun Simonise, suspended by NFL
2016-09-15, Giants, ,  Nikita Whitlock, suspended by NFL for 10 games for violation of the league's performance enhancing drug policy
2016-09-16, , ,  Manny Lawson, suspended by NFL for 2 games
2016-09-19, Cowboys, ,  Randy Gregory, suspended by NFL for 10 games for violating the league's substance abuse policy
2016-09-19, Lions,  Andrew Quarless, , reinstated from suspension
2016-09-20, ,  Bernard Pierce, , reinstated from suspension
2016-09-20, Broncos,  Shiloh Keo, , reinstated from suspension
2016-09-26, Bengals,  Vontaze Burfict, , reinstated from suspension
2016-09-26, Raiders,  Marcel Reece, , reinstated from suspension
2016-09-26, Steelers,  Le'veon Bell / Le'Veon Bell, , reinstated from suspension
2016-09-27, ,  Manny Lawson, , reinstated from suspension
2016-10-03, ,  Andrew Turzilli, , reinstated from suspension
2016-10-03, ,  Johnny Manziel, , reinstated from suspension
2016-10-03, ,  Karlos Williams, , reinstated from suspension
2016-10-03, Browns, ,  Josh Gordon, suspended by NFL indefinitely
2016-10-03, 49ers,  Aaron Lynch, , reinstated from suspension
2016-10-03, Bills,  Marcell Dareus, , reinstated from suspension
2016-10-03, Bills,  Seantrel Henderson, , reinstated from suspension
2016-10-03, Browns,  Armonty Bryant, , reinstated from suspension
2016-10-03, Chargers,  Damion Square, , reinstated from suspension
2016-10-03, Chiefs,  Zach Sterup, , reinstated from suspension
2016-10-03, Colts,  Arthur Jones, , reinstated from suspension
2016-10-03, Cowboys,  Demarcus Lawrence, , reinstated from suspension
2016-10-03, Falcons,  Jalen Collins, , reinstated from suspension
2016-10-03, Jaguars,  Aaron Colvin, , reinstated from suspension
2016-10-03, Panthers,  Chris Scott (b), , reinstated from suspension
2016-10-03, Patriots,  Rob Ninkovich, , reinstated from suspension
2016-10-03, Patriots,  Tom Brady, , reinstated from suspension
2016-10-03, Ravens,  Darren Waller, , reinstated from suspension
2016-10-10, Packers,  Demetri Goodson, , reinstated from suspension
2016-10-10, Packers,  Mike Pennel, , reinstated from suspension
2016-10-11, ,  Rashaun Simonise, , reinstated from suspension
2016-10-11, Eagles, ,  Lane Johnson, suspended by NFL for 10 games for violation of the league's performance enhancing drug policy
2016-10-14, , ,  Derrick Coleman, suspended by NFL for 4 games
2016-10-19, Bengals, ,  Vontaze Burfict," fined $75,000 by NFL"
2016-10-21, , ,  Jack Gangwish, suspended by NFL
2016-10-25, , ,  Stephen Hill, suspended by NFL for 2 games
2016-10-28, , ,  J.J. Worton, suspended by NFL for 6 games
2016-11-01, Lions, ,  Armonty Bryant, suspended by NFL for 3 games for violating the league's substance abuse policy
2016-11-01, Redskins, ,  Trent Williams, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-11-02, ,  Taylor Mays, , reinstated from suspension
2016-11-03, 49ers, ,  Kaleb Ramsey, suspended by NFL for 10 games
2016-11-08, ,  Stephen Hill, , reinstated from suspension
2016-11-14, Bears, ,  Alshon Jeffery, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-11-15, ,  Jack Gangwish, , reinsated from suspension
2016-11-21, Bears, ,  Jerrell Freeman, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-11-21, Cowboys,  Rolando McClain, , reinstated from suspension
2016-11-21, Dolphins, ,  Jason Jones (b), suspended by NFL for 2 games for violating the league's substance abuse policy
2016-11-21, Ravens,  Nick Boyle, , reinstated from suspension
2016-11-22, Buccaneers, ,  Jude Adjei-Barimah, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-11-23, Steelers, ,  Karlos Williams, suspended by NFL for 10 games for violating the league's substance abuse policy
2016-11-25, Lions,  Armonty Bryant, , reinstated from suspension
2016-11-28, , ,  Mike Neal, suspended by NFL for 2 games
2016-11-28, Giants,  Nikita Whitlock, , reinsated from suspension
2016-11-29, , ,  Sammie Hill / Sammie Lee Hill, suspended by NFL indefinitely
2016-11-29, Bills, ,  Seantrel Henderson, suspended by NFL for 10 games for violating the league's substance abuse policy
2016-11-30, Giants,  Nikita Whitlock, , reinsated from suspension
2016-11-30, Lions,  Armonty Bryant, , reinstated from suspension
2016-12-02, Cowboys, ,  Rolando McClain, suspended by NFL indefinitely for violating the league's substance abuse policy
2016-12-05, Redskins,  Trent Williams, , reinstated from suspension
2016-12-05, Dolphins,  Jason Jones (b), , reinstated from suspension
2016-12-06, Colts, ,  D'Qwell Jackson, suspended by NFL for 4 games
2016-12-06, Packers, ,  Mike Pennel, suspended by NFL for 4 games for violating the league's substance abuse policy
2016-12-09, Browns, ,  Jordan Payton, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-12-09, Giants, ,  Odell Beckham Jr.," fined $12,154 by NFL for verbal abuse/excessive profanity toward an official following game"
2016-12-09, Jets, ,  Breno Giacomini," fined $9,115 by NFL for unnecessary roughness during game"
2016-12-09, Jets, ,  Buster Skrine," fined $9,115 by NFL for unnecessary roughness during game"
2016-12-09, Jets, ,  Sheldon Richardson," fined $9,115 by NFL for unnecessary roughness during game"
2016-12-09, Raiders, ,  Marquette King," fined $12,154 by NFL for picking up an official’s flag and using it as a prop"
2016-12-09, Raiders, ,  Michael Crabtree," fined $12,154 by NFL for taunting during game"
2016-12-09, Saints, ,  Kenny Vaccaro, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-12-10, Redskins,  Trent Williams, , reinstated from suspended list
2016-12-12, Chargers, ,  Tenny Palepoi, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2016-12-12, Bears,  Alshon Jeffery, , reinstated from suspension
2016-12-15, Browns, ,  Alvin Bailey (b), suspended by NFL for 2 games for violating the league's substance abuse policy
2016-12-19, Bears,  Jerrell Freeman, , reinstated from suspension
2016-12-19, Buccaneers,  Jude Adjei-Barimah, , reinstated from suspension
2016-12-19, Cowboys,  Randy Gregory, , reinstated from suspension
2016-12-19, Eagles,  Lane Johnson, , reinstated from suspension
2016-12-26, Browns,  Alvin Bailey (b), , reinstated from suspension
2016-12-27, Redskins,  Silas Redd Jr., , reinstated from suspension
2016-12-28, Buccaneers, ,  Doug Martin (c), suspended by NFL for 4 games for violating the league's substance abuse policy
2017-01-02, 49ers,  Kaleb Ramsey, , reinstated from suspended list
2017-01-02, Bills,  Seantrel Henderson, , reinstated from suspended list
2017-01-02, Browns,  Jordan Payton, , reinstated from suspension
2017-01-02, Buccaneers,  Doug Martin (c), , reinstated from suspended list
2017-01-02, Chargers,  Tenny Palepoi, , reinstated from suspension
2017-01-02, Colts,  D'Qwell Jackson, , reinstated from suspended list
2017-01-02, Saints,  Kenny Vaccaro, , reinstated from suspension
2017-01-02, Packers,  Mike Pennel, , reinstated from suspension
2017-01-05, Cowboys, ,  Randy Gregory, suspended by NFL for at least 1 year for violating the league's substance abuse policy
2017-01-21, , ,  J'Marcus Webb, suspended by NFL for 4 games for violating the league's substance abuse policy
2017-03-05, Redskins, ,  Trent Murphy, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-03-06, Browns, ,  Josh Gordon, suspended by NFL at least one year
2017-03-07, Jets, ,  Jalin Marshall, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-03-07, Packers, ,  Letroy Guion, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-03-09, Ravens, ,  Kenneth Dixon, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-03-15, Jets, ,  Austin Seferian-Jenkins, suspended by NFL for 2 games for violating the league's substance abuse policy
2017-03-29, , ,  T.J. McDonald, suspended by NFL for 8 games (forfeited $365K in salary) for violating the NFL substance abuse policy
2017-04-14, Jets, ,  Nick Marshall, suspended by NFL for 4 games (forfeited $145K in salary) for violation of the league's performance enhancing drug policy
2017-04-21, Cowboys, ,  Shaquelle Evans / Shaq Evans, suspended by NFL for 4 games for violating the league's substance abuse policy
2017-04-22, , ,  Brandon Bostick, suspended by NFL for 4 games
2017-04-25, Cardinals,  Daryl Washington, , reinstated from suspension
2017-04-25, Steelers,  Martavis Bryant, , reinstated from suspension
2017-05-01, Rams, ,  Troy Hill (b), suspended by NFL for 2 games (forfeited $72K in salary) for violating the league's substance abuse policy (DUI)
2017-05-04, Texans, ,  Max Bullough," suspended by NFL for 4 games (forfeited $72,353 in salary) for violation of the league's performance enhancing drug policy"
2017-05-23, Cowboys, ,  David Irving, suspended by NFL for 4 games (forfeited $145K in salary) for violation of the league's performance enhancing drug policy
2017-05-25, , ,  Justin Gilbert, suspended by NFL for 4 games for violating the league's substance abuse policy
2017-06-01, , ,  James Ihedigbo, suspended by NFL for 4 games for undisclosed violation
2017-06-08, Bills, ,  Walter Powell / Walt Powell, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-06-20, , ,  Justin Gilbert, suspended by NFL for 1 year
2017-06-20, Lions, ,  Khyri Thornton, suspended by NFL for 6 games for violating the league's substance abuse policy
2017-06-28, , ,  Karlos Williams, suspended by NFL for at least 1 year
2017-06-28, Cowboys, ,  David Irving, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-06-30, Ravens, ,  Darren Waller, suspended by NFL for at least 1 year (forfeited $643K in salary) for violation of the league's performance enhancing drug policy
2017-07-14, Rams, ,  Michael Thomas (d) / Mike Thomas (c), suspended by NFL for 4 games (forfeited $134K in salary) for violation of the league's performance enhancing drug policy
2017-07-14, Vikings, ,  Michael Floyd, suspended by NFL for 4 games (forfeited $335K in salary) for violating the league's substance abuse policy
2017-07-18, Lions, ,  Armonty Bryant, suspended by NFL for 4 games (forfeited $192K in salary) for violating the league's substance abuse policy
2017-07-19, Packers, ,  Geronimo Allison, suspended by NFL for 1 game for violating the league's substance abuse policy
2017-07-21, Bengals, ,  Adam Jones / Pacman Jones, suspended by NFL for 1 game (forfeited $431K in salary) for violating the league's personal conduct policy
2017-07-28, Cowboys, ,  Damontre' Moore / Damontre Moore, suspended by NFL for 2 games (forfeited $98K in salary) for violating the league's substance abuse policy (DUI)
2017-08-06, Falcons, ,  Jalen Collins, suspended by NFL for 10 games (forfeited $871K in salary) for violation of the league's performance enhancing drug policy
2017-08-11, Cowboys, ,  Ezekiel Elliott, suspended by NFL for 6 games (forfeited $2M in salary) for violating the league's personal conduct policy
2017-08-16, , ,  Max Bullough, suspended by NFL for 4 games (in addition to earlier 4-game suspension) for violation of the league's performance enhancing drug policy
2017-08-21, Eagles, ,  Bryce Treggs," fined $25,000 by NFL for hit to the head of opposing player"
2017-08-22, Chargers, ,  Max Tuerk, suspended by NFL for 4 games (forfeited $197K in salary) for violation of the league's performance enhancing drug policy
2017-08-22, Texans, ,  Jaelen Strong, suspended by NFL for 1 game (forfeited $52K in salary) for violating the league's substance abuse policy
2017-08-28, Giants, ,  Owamagbe Odighizuwa / Owa Odighizuwa, suspended by NFL for 4 games for (forfeited $189K in salary) violation of the league's performance enhancing drug policy
2017-08-30, Bengals, ,  Vontaze Burfict, suspended by NFL for 3 games (forfeit $662K in salary ) for violation of NFL player safety rules (hit on defenseless receiver)
2017-09-01, Saints, ,  Willie Snead IV, suspended by NFL for 3 games (forfeited $109K in salary) for violating the league's substance abuse policy
2017-09-01, Steelers,  Martavis Bryant, , reinstated from suspension
2017-09-02, , ,  Sam Shields, suspended by NFL for 2 games
2017-09-08, , ,  Josh Brown (b), suspended by NFL for 6 games for violating the league's personal conduct policy
2017-09-08, Cowboys,  Ezekiel Elliott, , injunction issued by federal court against earlier suspension
2017-09-11, 49ers,  Kaleb Ramsey, , reinstated from suspended list
2017-09-11, Bengals,  Adam Jones / Pacman Jones, , reinstated from suspension
2017-09-11, Packers,  Geronimo Allison, , reinstated from suspension
2017-09-11, Texans,  Jaelen Strong, , reinstated from suspension
2017-09-12, Chargers,  Tenny Palepoi, , reinstated from suspension
2017-09-13, Texans, ,  Brian Cushing, suspended by NFL for 10 games (forfeited $5M in salary) for violation of the league's performance enhancing drug policy
2017-09-15, Raiders, ,  Marshawn Lynch," fined $12,000 by NFL for making an unsportsmanlike hand gesture during game"
2017-09-15, Ravens, ,  Kenneth Dixon, suspended by NFL for 2 games
2017-09-15, Vikings, ,  Stefon Diggs," fined $6,076 by NFL for throwing football into stands"
2017-09-18, Jets,  Austin Seferian-Jenkins, , reinstated from suspension
2017-09-18, Rams,  Troy Hill (b), , reinstated from suspension
2017-09-18, Cowboys,  Damontre' Moore / Damontre Moore, , reinstated from suspension
2017-09-19, Dolphins, ,  Lawrence Timmons, suspended by team indefinitely for leaving team unexcused
2017-09-22, , ,  Ra'Shede Hageman, suspended by NFL for 6 games for violating the league's conduct policy (domestic violence)
2017-09-25, Bengals,  Vontaze Burfict, , reinstated from suspension
2017-09-25, Saints,  Willie Snead IV, , reinstated from suspension
2017-09-26, Dolphins,  Lawrence Timmons, , reinstated from suspension
2017-09-30, Bears, ,  Danny Trevathan, suspended by NFL for 2 games (later reduced to 1 game) for helmet-to-helmet hit on defenseless player
2017-10-02, ,  James Ihedigbo, , reinstated from suspension
2017-10-02, ,  Letroy Guion, , reinstated from suspension
2017-10-02, ,  Max Bullough, , reinstated from suspension
2017-10-02, ,  Nick Marshall, , reinstated from suspension
2017-10-02, ,  Owamagbe Odighizuwa / Owa Odighizuwa, , reinstated from suspension
2017-10-02, Buccaneers,  Doug Martin (c), , reinstated from suspension
2017-10-02, Chargers,  Max Tuerk, , reinstated from suspension
2017-10-02, Cowboys,  David Irving, , reinstated from suspension
2017-10-02, Jets,  Jalin Marshall, , reinstated from suspension
2017-10-02, Lions,  Armonty Bryant, , reinstated from suspension
2017-10-02, Rams,  Michael Thomas (d) / Mike Thomas (c), , reinstated from suspension
2017-10-02, Vikings,  Michael Floyd, , reinstated from suspension
2017-10-02, Bills,  Walter Powell / Walt Powell, , reinstated from suspension
2017-10-03, Bears, ,  Danny Trevathan, earlier suspension reduced from 2 games to 1 game
2017-10-03, Redskins,  Trent Murphy, , reinstated from suspension
2017-10-06, Jaguars, ,  Paul Posluszny," fined $9,115 by NFL for taunting (throwing ball at opposing player)"
2017-10-09, , ,  B.J. Daniels, suspended by NFL for 4 games
2017-10-09, , ,  Makinton Dorleant, suspended by NFL for 1 game
2017-10-09, Bills,  Seantrel Henderson, , reinstated from suspended list
2017-10-09, Raiders, ,  Darius Latham, suspended by NFL for 4 games (forfeited $128K in salary) for violating the league's substance abuse policy
2017-10-10, Bears,  Danny Trevathan, , reinstated from suspension
2017-10-11, Giants, ,  Dominique Rodgers-Cromartie, suspended by team indefinitely for violating team rules
2017-10-12, , ,  Matt Elam, suspended by NFL for 6 games for violating the league's personal conduct policy
2017-10-12, Cowboys, ,  Ezekiel Elliott," 5th circuit court ruled earlier injunction did not have subject matter jurisdiction, original suspension of 6 games was reinstated"
2017-10-16, ,  Josh Brown (b), , reinstated from suspension
2017-10-16, Lions,  Khyri Thornton, , reinstated from suspension
2017-10-16, Ravens,  Kenneth Dixon, , reinstated from suspension
2017-10-17, Cowboys,  Ezekiel Elliott, , reinstated from suspended list
2017-10-17, Giants,  Dominique Rodgers-Cromartie, , reinstated from suspension
2017-10-20, Raiders, ,  Marshawn Lynch, suspended by NFL for 1 game (forfeited $111K in salary) for unsportsmanlike conduct (entering the field of play and physically striking an official)
2017-10-23, Vikings, ,  Andrew Sendejo, suspended by NFL for 1 game (forfeited $174K in salary) for violation of player safety rules (hit to head of opposing player)
2017-10-30, Bears, ,  Jerrell Freeman, suspended by NFL for 10 games for violation of the league's performance enhancing drug policy
2017-10-30, Raiders,  Marshawn Lynch, , reinstated from suspension
2017-10-30, Vikings,  Andrew Sendejo, , reinstated from suspension
2017-10-31, ,  Ra'Shede Hageman, , reinstated from suspension
2017-10-31, Giants, ,  Janoris Jenkins, suspended by team indefinitely for violation of team rules
2017-11-01, Cowboys, ,  Ezekiel Elliott, placed on reserve/suspended list for violating the league's personal conduct policy
2017-11-03, Cowboys,  Ezekiel Elliott, , reinstated from reserve/suspended list
2017-11-06, Buccaneers, ,  Mike Evans (c)," suspended by NFL for 1 game (forfeited $40,588 in salary) for unsportsmanlike conduct (taunting, shoving)"
2017-11-06, Dolphins,  T.J. McDonald, , reinstated from suspension
2017-11-06, Jets, ,  Jeremy Kerley, suspended by NFL for 4 games (forfeited $182K in salary) for violation of the league's performance enhancing drug policy
2017-11-06, Raiders,  Darius Latham, , reinstated from suspension
2017-11-07, Giants,  Janoris Jenkins, , reinstated from suspension
2017-11-09, 49ers, ,  Carlos Hyde," fined $9,115 by NFL for fighting"
2017-11-09, Bengals, ,  A.J. Green (b), fined $42K by NFL for fighting
2017-11-09, Cowboys, ,  Ezekiel Elliott, placed on reserve/suspended list for violating the league's personal conduct policy
2017-11-10, Cardinals, ,  Antoine Bethea," fined $9,115 for fighting"
2017-11-10, Cardinals, ,  Frostee Rucker," fined $9,115 for fighting"
2017-11-10, Cardinals, ,  Haason Reddick," fined $9,115 for fighting"
2017-11-13, Buccaneers,  Mike Evans (c), , reinstated from suspension
2017-11-20, Browns,  Josh Gordon, , reinstated from suspension
2017-11-20, Steelers, ,  Marcus Gilbert (b), suspended by NFL for 4 games (forfeited $1.3M in salary) for violation of the league's performance enhancing drug policy
2017-11-21, Falcons,  Jalen Collins, , reinstated from suspension
2017-11-24, Giants, ,  Janoris Jenkins," fined $6,076 by NFL for throwing ball into stands"
2017-11-24, Ravens, ,  Ryan Mallett," fined $12,154 for verbally abusing referees"
2017-11-27, Broncos, ,  Aqib Talib, suspended by NFL for 2 games (later reduced to 1 game) for unsportsmanlike conduct
2017-11-27, Raiders, ,  Michael Crabtree, suspended by NFL for 2 games (later reduced to 1 game) for unsportsmanlike conduct
2017-11-28, Broncos, ,  Aqib Talib, earlier suspension reduced from 2 games to 1 game
2017-11-28, Raiders, ,  Michael Crabtree, earlier suspension reduced from 2 games to 1 game
2017-11-28, Texans,  Brian Cushing, , reinstated from suspension
2017-12-01, , ,  Michael Bowie, suspended by NFL for 6 games for violation of the league's personal conduct policy
2017-12-01, Panthers, ,  Charles Johnson (David), suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2017-12-04, Broncos,  Aqib Talib, , reinstated from suspension
2017-12-04, Patriots, ,  Rob Gronkowski, suspended by NFL for 1 game (forfeited $281K in salary) for violation of NFL player safety rules (late hit)
2017-12-04, Raiders,  Michael Crabtree, , reinstated from suspension
2017-12-04, Ravens, ,  Jimmy Smith, suspended by NFL for 4 games (forfeited $794K in salary) for violation of the league's performance enhancing drug policy
2017-12-05, Bengals, ,  George Iloka, suspended by NFL for 1 game for violation of NFL player safety rules (later overturned by NFL)
2017-12-05, Steelers, ,  JuJu Smith-Schuster, suspended by NFL for 1 game for violation of NFL player safety rules
2017-12-06, Bengals, ,  George Iloka," fined $36,464 by NFL for helmet-to-helmet hit on opposing player"
2017-12-06, Bengals,  George Iloka, , earlier suspension overturned by NFL
